,ctoi_alias,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,ra,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim
251,308034948.01,8.6014,0.012,-0.012,1.0,0.0,180.325704,-6.538,0.045,-0.045,1.0,0.0,-1.401,0.041,-0.041,1.0,0.0,2458569.713498,0.001331,-0.001331,1.0,0.0,1.985538,0.244436,-0.244436,1.0,0.0,248.969585,21.536388,-21.536388,1.0,0.0,1.881684,2.170925,-2.170925,1.0,0.0,1698.55,92.265,-92.265,1.0,0.0,5824.0,165.0,-165.0,1.0,0.0,4.438,0.09,-0.09,1.0,0.0,1.1512,1.1512,-1.1512,1.0,0.0
258,33878688.01,11.1762,0.006,-0.006,1.0,0.0,66.221959,-21.388,0.033,-0.033,1.0,0.0,-39.668,0.038,-0.038,1.0,0.0,2459187.361317,0.016154,-0.016154,1.0,0.0,5.392,1.794,-1.794,1.0,0.0,1227.0,7.96249,-7.96249,1.0,0.0,2.17454,0.271867,-0.271867,1.0,0.0,144.133,0.424,-0.424,1.0,0.0,5168.33,64.7007,-64.7007,1.0,0.0,4.60584,0.146885,-0.146885,1.0,0.0,0.77,0.05,-0.05,1.0,0.0
261,399144800.01,10.6392,0.006,-0.006,1.0,0.0,163.198824,-100.262,0.049,-0.049,1.0,0.0,79.575,0.041,-0.041,1.0,0.0,2458576.189436,0.001484,-0.001484,1.0,0.0,3.7190483,0.1058219,-0.1058219,1.0,0.0,4731.4046225,264.1891,-264.1891,1.0,0.0,8.3475973,0.6867732,-0.6867732,1.0,0.0,161.33,0.6765,-0.6765,1.0,0.0,6270.0,196.0,-196.0,1.0,0.0,4.54537,0.423983,-0.423983,1.0,0.0,0.989667,0.0531859,-0.0531859,1.0,0.0
272,382437043.01,9.3109,0.006,-0.006,1.0,0.0,117.214876,-19.934,0.092,-0.092,1.0,0.0,27.4,0.08,-0.08,1.0,0.0,2458337.747012,0.001993,-0.001993,1.0,0.0,2.5483426,0.3213324,-0.3213324,1.0,0.0,242.7923919,19.18831,-19.18831,1.0,0.0,3.41248,1.1490116,-1.1490116,1.0,0.0,237.7,2.593,-2.593,1.0,0.0,6516.0,199.0,-199.0,1.0,0.0,3.99366,0.364731,-0.364731,1.0,0.0,2.04178,0.0960201,-0.0960201,1.0,0.0
291,267561446.01,12.5313,0.007,-0.007,1.0,0.0,311.513651,50.569,0.045,-0.045,1.0,0.0,188.287,0.033,-0.033,1.0,0.0,2458711.815604,0.003346,-0.003346,1.0,0.0,2.012261,0.3679059,-0.3679059,1.0,0.0,1961.318203,136.80847,-136.80847,1.0,0.0,2.558112,0.8317096,-0.8317096,1.0,0.0,110.246,0.224,-0.224,1.0,0.0,3855.0,157.0,-157.0,1.0,0.0,4.68499,0.0098489,-0.0098489,1.0,0.0,0.560391,0.0165845,-0.0165845,1.0,0.0
292,274662200.01,10.9313,0.007,-0.007,1.0,0.0,316.86724,24.522,0.049,-0.049,1.0,0.0,98.034,0.045,-0.045,1.0,0.0,2458712.3664,0.002609,-0.002609,1.0,0.0,1.9190118,0.6503655,-0.6503655,1.0,0.0,1229.4965125,129.57385,-129.57385,1.0,0.0,1.866263,1.8184054,-1.8184054,1.0,0.0,41.9934,0.04955,-0.04955,1.0,0.0,3526.0,157.0,-157.0,1.0,0.0,4.71105,0.0088854,-0.0088854,1.0,0.0,0.53023,0.015565,-0.015565,1.0,0.0
296,408203470.01,12.9984,0.007,-0.007,1.0,0.0,307.210941,-76.25,2.0,-2.0,1.0,0.0,-117.93,2.0,-2.0,1.0,0.0,2458711.410631,0.002166,-0.002166,1.0,0.0,1.3261177,0.5156573,-0.5156573,1.0,0.0,3206.6010016,370.79492,-370.79492,1.0,0.0,2.2014886,1.4735351,-1.4735351,1.0,0.0,89.21544,4.92,-4.92,1.0,0.0,3446.0,157.0,-157.0,1.0,0.0,4.83941,0.0029626,-0.0029626,1.0,0.0,0.38621,0.0118685,-0.0118685,1.0,0.0
319,233684822.01,9.89947,0.006,-0.006,1.0,0.0,260.902889,-30.786,0.042,-0.042,1.0,0.0,29.555,0.042,-0.042,1.0,0.0,2460658.633557,0.000912,-0.000912,1.0,0.0,1.914,0.487,-0.487,1.0,0.0,738.0,30.4674,-30.4674,1.0,0.0,4.03134,0.219211,-0.219211,1.0,0.0,185.23,0.7705,-0.7705,1.0,0.0,5779.0,188.0,-188.0,1.0,0.0,4.88162,0.361611,-0.361611,1.0,0.0,1.45,0.07,-0.07,1.0,0.0
322,274762761.01,13.5608,0.008,-0.008,1.0,0.0,301.346363,-213.45,2.0,-2.0,1.0,0.0,-576.64,2.0,-2.0,1.0,0.0,2458683.947476,0.004219,-0.004219,1.0,0.0,3.8017836,0.3347664,-0.3347664,1.0,0.0,26111.5081972,1959.5728,-1959.5728,1.0,0.0,4.087988,8.41243,-8.41243,1.0,0.0,375.012,4.92,-4.92,1.0,0.0,2972.0,157.0,-157.0,1.0,0.0,5.15741,0.0425173,-0.0425173,1.0,0.0,0.156193,0.0046925,-0.0046925,1.0,0.0
342,237200747.01,11.463,0.006,-0.006,1.0,0.0,293.032494,-12.978,0.045,-0.045,1.0,0.0,-13.983,0.041,-0.041,1.0,0.0,2459695.445887,0.00047,-0.00047,1.0,0.0,3.135,0.01,-0.01,1.0,0.0,48840.0,0.239763,-0.239763,1.0,0.0,18.4949,1.14648,-1.14648,1.0,0.0,171.138,0.664,-0.664,1.0,0.0,5056.6,91.3,-91.3,1.0,0.0,4.53,0.09,-0.09,1.0,0.0,0.83,0.05,-0.05,1.0,0.0
351,233681149.01,10.8037,0.006,-0.006,1.0,0.0,260.36481,-16.36,0.055,-0.055,1.0,0.0,94.627,0.062,-0.062,1.0,0.0,2458683.689629,0.005049,-0.005049,1.0,0.0,5.1458902,0.3955153,-0.3955153,1.0,0.0,1904.8131484,340.71796,-340.71796,1.0,0.0,5.3744721,0.9241127,-0.9241127,1.0,0.0,208.687,1.072,-1.072,1.0,0.0,5929.0,124.812,-124.812,1.0,0.0,4.48275,0.0787278,-0.0787278,1.0,0.0,0.987583,0.0471407,-0.0471407,1.0,0.0
352,233390838.01,9.53591,0.006,-0.006,1.0,0.0,301.559262,-3.228,0.056,-0.056,1.0,0.0,-21.612,0.065,-0.065,1.0,0.0,2459820.572994,0.00091,-0.00091,1.0,0.0,2.643,0.27,-0.27,1.0,0.0,9270.0,5696.09,-5696.09,1.0,0.0,48.9878,2.86097,-2.86097,1.0,0.0,236.568,1.558,-1.558,1.0,0.0,6477.6,101.6,-101.6,1.0,0.0,4.13,0.09,-0.09,1.0,0.0,1.69,0.07,-0.07,1.0,0.0
353,256621916.01,10.4243,0.007,-0.007,1.0,0.0,300.488392,8.4,2.3,-2.3,1.0,0.0,-16.6,2.2,-2.2,1.0,0.0,2460352.578093,0.000475,-0.000475,1.0,0.0,1.448,0.229,-0.229,1.0,0.0,2427.0,5269.02,-5269.02,1.0,0.0,9.8672,0.820598,-0.820598,1.0,0.0,375.012,4.92,-4.92,1.0,0.0,5869.0,253.3,-253.3,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,1.52,0.07,-0.07,1.0,0.0
